[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,427] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,428] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-It.ttf', name='Source Code Pro', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSerifBoldItalic.ttf', name='FreeSerif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationSerif-BoldItalic.ttf', name='Liberation Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-R.ttf', name='Ubuntu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansCondensed-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='condensed', size='scalable')) = 1.535
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-C.ttf', name='Ubuntu Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
[2023-07-19 14:50:27,429] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-SemiboldIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBoldOblique.ttf', name='FreeMono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-MediumIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Inconsolata-Bold.ttf', name='Inconsolata', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/stix/STIX-Bold.otf', name='STIX', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansCondensed.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 0.25
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/abattis-cantarell/Cantarell-Bold.otf', name='Cantarell', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-Black.ttf', name='Source Code Pro', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
[2023-07-19 14:50:27,430] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/stix/STIX-Italic.otf', name='STIX', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-BI.ttf', name='Ubuntu', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-M.ttf', name='Ubuntu', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMono.ttf', name='FreeMono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuLGCSansMono-BoldOblique.ttf', name='DejaVu LGC Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-ExtraLight.ttf', name='Source Code Pro', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationMono-Italic.ttf', name='Liberation Mono', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,431] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
[2023-07-19 14:50:27,432] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/stix/STIX-BoldItalic.otf', name='STIX', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,432] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-Th.ttf', name='Ubuntu', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
[2023-07-19 14:50:27,432] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-L.ttf', name='Ubuntu', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
